threshold,cap,wordsRequiredAtD10,label,digest8,ndcg@1,ndcg@5,ndcg@8,ndcg@10,p@1,p@5,p@8,p@10,r@1,r@5,r@8,r@10,mrr@10,runLines,zeroResultQueries,p95SearchMs
0,1,1,sw-t0.0000-c1,e14b473e,0.097078,0.077916,0.077680,0.077659,0.101997,0.020399,0.012750,0.010200,0.071147,0.071147,0.071147,0.071147,0.101997,2304,0,1.597292
0,2,1,sw-t0.0000-c2,25cfdddf,0.097078,0.103044,0.102646,0.102586,0.101997,0.031250,0.019531,0.015625,0.071147,0.106574,0.106574,0.106574,0.127604,4608,0,1.571208
0,3,1,sw-t0.0000-c3,6b013897,0.097078,0.112970,0.112440,0.112350,0.101997,0.037674,0.023546,0.018837,0.071147,0.123778,0.123778,0.123778,0.136429,6912,0,1.624583
0,4,1,sw-t0.0000-c4,b5007041,0.097078,0.121908,0.121292,0.121189,0.101997,0.043837,0.027398,0.021918,0.071147,0.142267,0.142267,0.142267,0.142506,9216,0,1.723209
0,5,1,sw-t0.0000-c5,d1b76e7f,0.097078,0.129059,0.128345,0.128226,0.101997,0.049306,0.030816,0.024653,0.071147,0.158169,0.158169,0.158169,0.146238,11520,0,1.628958
0,6,1,sw-t0.0000-c6,baa58679,0.097078,0.129059,0.133105,0.132980,0.101997,0.049306,0.033366,0.026693,0.071147,0.158169,0.169888,0.169888,0.148770,13824,0,1.699416
0,7,1,sw-t0.0000-c7,29eb5959,0.097078,0.129059,0.136976,0.136844,0.101997,0.049306,0.035645,0.028516,0.071147,0.158169,0.179854,0.179854,0.150506,16128,0,1.536959
0,8,1,sw-t0.0000-c8,c98168ed,0.097078,0.129059,0.140393,0.140251,0.101997,0.049306,0.037652,0.030122,0.071147,0.158169,0.189303,0.189303,0.152080,18432,0,1.525125
0,9,1,sw-t0.0000-c9,29de11b6,0.097078,0.129059,0.140393,0.142864,0.101997,0.049306,0.037652,0.031554,0.071147,0.158169,0.189303,0.197134,0.152996,20736,0,1.707208
0,10,1,sw-t0.0000-c10,6245ccbf,0.097078,0.129059,0.140393,0.145337,0.101997,0.049306,0.037652,0.032769,0.071147,0.158169,0.189303,0.205223,0.153951,23040,0,1.635250
0.1,1,2,sw-t0.1000-c1,2683ec7f,0.097078,0.077916,0.077680,0.077659,0.101997,0.020399,0.012750,0.010200,0.071147,0.071147,0.071147,0.071147,0.101997,2293,11,1.304334
0.1,2,2,sw-t0.1000-c2,b4852967,0.097078,0.103044,0.102646,0.102586,0.101997,0.031250,0.019531,0.015625,0.071147,0.106574,0.106574,0.106574,0.127604,4571,11,1.165084
0.1,3,2,sw-t0.1000-c3,2b23cc4e,0.097078,0.112970,0.112440,0.112350,0.101997,0.037674,0.023546,0.018837,0.071147,0.123778,0.123778,0.123778,0.136429,6836,11,1.175625
0.1,4,2,sw-t0.1000-c4,a17ee8f5,0.097078,0.121908,0.121292,0.121189,0.101997,0.043837,0.027398,0.021918,0.071147,0.142267,0.142267,0.142267,0.142506,9084,11,1.081709
