k1,b,label,digest8,ndcg@1,ndcg@5,ndcg@8,ndcg@10,p@1,p@5,p@8,p@10,r@1,r@5,r@8,r@10,mrr@10,runLines,zeroResultQueries,p95SearchMs
0,0,v4-p001,cba11766,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.271208
0,0.1,v4-p002,767dcd09,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.385500
0,0.2,v4-p003,e0b5a704,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.587334
0,0.3,v4-p004,f3b79567,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.349791
0,0.4,v4-p005,a3ffbaa3,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.269792
0,0.5,v4-p006,2dbd7d72,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.035584
0,0.6,v4-p007,62302ff1,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.023417
0,0.7,v4-p008,f452fc08,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.001917
0,0.75,v4-p009,c6652fe3,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,6.904833
0,0.8,v4-p010,2d420535,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.013917
0,0.9,v4-p011,e50fc198,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,6.966208
0,1,v4-p012,3af263ed,0.107060,0.138480,0.151755,0.156559,0.113715,0.052431,0.040419,0.034939,0.078607,0.169861,0.205756,0.220309,0.168350,23040,0,7.058917
0.3,0,v4-p013,f43b6bc6,0.115451,0.153370,0.167089,0.172603,0.122396,0.058333,0.044705,0.038845,0.085280,0.188477,0.226272,0.242785,0.182716,23040,0,7.501000
0.3,0.1,v4-p014,d3645a92,0.133681,0.167775,0.181112,0.187466,0.142361,0.062760,0.047201,0.041406,0.097311,0.201118,0.237316,0.256701,0.201779,23040,0,7.601125
0.3,0.2,v4-p015,6328a63e,0.139178,0.175963,0.188375,0.195326,0.148438,0.065972,0.048720,0.043012,0.101290,0.211068,0.245625,0.266257,0.210491,23040,0,7.662000
0.3,0.3,v4-p016,545215ba,0.148293,0.182326,0.195311,0.201932,0.157552,0.067795,0.050293,0.044054,0.107034,0.216927,0.252649,0.272472,0.219146,23040,0,7.965292
0.3,0.4,v4-p017,51391409,0.155382,0.186691,0.201298,0.208286,0.164931,0.069271,0.051921,0.045486,0.111856,0.220254,0.261554,0.282089,0.225821,23040,0,7.502583
0.3,0.5,v4-p018,03383c3c,0.158131,0.189499,0.205532,0.212938,0.167969,0.070226,0.053277,0.046615,0.114098,0.222511,0.266801,0.289451,0.230393,23040,0,7.447459
0.3,0.6,v4-p019,dd3bfe27,0.161314,0.193010,0.209042,0.216692,0.170573,0.071441,0.054036,0.047352,0.116373,0.226710,0.271180,0.294454,0.233865,23040,0,7.472375
0.3,0.7,v4-p020,3bab9f99,0.165220,0.196576,0.213600,0.221628,0.174479,0.072656,0.055176,0.048698,0.119638,0.230457,0.278116,0.301781,0.238387,23040,0,7.595000
0.3,0.75,v4-p021,c0bb7d74,0.165509,0.197964,0.215058,0.223140,0.174479,0.073264,0.055610,0.049132,0.119891,0.232628,0.280518,0.304197,0.239186,23040,0,7.460125
0.3,0.8,v4-p022,02fd2021,0.163339,0.199008,0.215943,0.224122,0.172309,0.074132,0.056207,0.049740,0.118734,0.235601,0.282832,0.306841,0.239069,23040,0,7.513459
0.3,0.9,v4-p023,4664284b,0.165075,0.201363,0.217408,0.225547,0.174045,0.075521,0.056912,0.050043,0.118395,0.240004,0.284352,0.308612,0.241225,23040,0,7.849750
0.3,1,v4-p024,74a86399,0.166522,0.202904,0.219804,0.228183,0.175781,0.075608,0.057563,0.050781,0.118576,0.242027,0.288187,0.313351,0.243847,23040,0,8.036625
0.6,0,v4-p025,5f1dfa87,0.115596,0.157996,0.171861,0.178086,0.122830,0.061024,0.046115,0.040321,0.086654,0.195251,0.233472,0.252301,0.187406,23040,0,7.730834
0.6,0.1,v4-p026,091f42b0,0.146701,0.181738,0.194874,0.201787,0.156250,0.068056,0.050184,0.044054,0.107375,0.216211,0.253305,0.274420,0.217963,23040,0,7.935750
0.6,0.2,v4-p027,1d6eed79,0.157552,0.191811,0.205631,0.214931,0.167101,0.071441,0.053060,0.047092,0.115007,0.226910,0.265319,0.294257,0.230978,23040,0,7.990250
0.6,0.3,v4-p028,c4b655a6,0.163050,0.196192,0.213367,0.221251,0.172309,0.072743,0.055447,0.048655,0.118013,0.230553,0.278550,0.302046,0.237896,23040,0,7.975500
0.6,0.4,v4-p029,43f7e224,0.166956,0.202398,0.219366,0.227457,0.176215,0.075694,0.057183,0.050130,0.119587,0.240022,0.286821,0.311553,0.243809,23040,0,7.924875
0.6,0.5,v4-p030,a35cd347,0.171441,0.209633,0.225687,0.232682,0.180122,0.078819,0.059136,0.051085,0.122893,0.250988,0.295513,0.317087,0.249236,23040,0,7.696167
0.6,0.6,v4-p031,f252c8dd,0.176071,0.212894,0.230145,0.237282,0.184462,0.079514,0.060167,0.052040,0.125488,0.252529,0.300611,0.322884,0.254118,23040,0,8.139834
0.6,0.7,v4-p032,839fc641,0.178819,0.216230,0.233094,0.240252,0.187500,0.080642,0.060764,0.052691,0.127332,0.257079,0.303591,0.325758,0.257444,23040,0,7.958334
0.6,0.75,v4-p033,87c87a5e,0.179687,0.217787,0.233389,0.241729,0.188368,0.081337,0.060655,0.053082,0.127853,0.259596,0.302978,0.328315,0.258358,23040,0,7.930834
0.6,0.8,v4-p034,b42effac,0.183015,0.220064,0.235306,0.244094,0.192274,0.082118,0.061035,0.053472,0.129748,0.261676,0.303907,0.330937,0.261560,23040,0,7.914833
0.6,0.9,v4-p035,0b28b943,0.180266,0.219649,0.235647,0.244843,0.189236,0.082552,0.061469,0.053863,0.126670,0.262328,0.307126,0.336070,0.261182,23040,0,7.772375
0.6,1,v4-p036,60703f28,0.177951,0.219393,0.236811,0.244976,0.187500,0.082639,0.062174,0.054253,0.125826,0.262744,0.311862,0.337654,0.260538,23040,0,7.847709
0.9,0,v4-p037,a37285d7,0.119358,0.161625,0.176127,0.182359,0.128038,0.062153,0.047418,0.041233,0.089291,0.198748,0.238378,0.257490,0.192771,23040,0,7.409792
0.9,0.1,v4-p038,2502f86f,0.148003,0.185640,0.200343,0.208424,0.157552,0.069965,0.052463,0.046181,0.108171,0.222204,0.262766,0.287428,0.222854,23040,0,7.778791
0.9,0.2,v4-p039,eb9b1c64,0.158565,0.196940,0.212326,0.220628,0.167535,0.074045,0.055664,0.048741,0.114020,0.235076,0.277046,0.302800,0.236090,23040,0,8.019375
0.9,0.3,v4-p040,ec23cb7d,0.166811,0.205386,0.222401,0.229997,0.175781,0.076997,0.058214,0.050738,0.119868,0.244879,0.291375,0.314530,0.246232,23040,0,8.037250
0.9,0.4,v4-p041,289c38df,0.171152,0.212349,0.228490,0.236329,0.180122,0.080382,0.059896,0.052040,0.122770,0.255401,0.299995,0.324420,0.251932,23040,0,8.018000
0.9,0.5,v4-p042,f45256dd,0.177517,0.217200,0.233830,0.242034,0.187066,0.081684,0.060818,0.052995,0.127090,0.258393,0.304246,0.330029,0.259002,23040,0,8.154959
0.9,0.6,v4-p043,b3324ac0,0.183160,0.221537,0.238380,0.246694,0.191840,0.082639,0.061849,0.053863,0.130204,0.263194,0.309625,0.335295,0.263704,23040,0,7.923250
0.9,0.7,v4-p044,d35d43cb,0.185041,0.223823,0.241548,0.249722,0.193142,0.084028,0.063043,0.054905,0.130978,0.266804,0.316090,0.342065,0.265539,23040,0,8.093333
0.9,0.75,v4-p045,fe815151,0.184751,0.224586,0.243046,0.250502,0.193142,0.084722,0.063748,0.055165,0.130013,0.268390,0.320722,0.344394,0.266044,23040,0,8.207583
0.9,0.8,v4-p046,3c56e0a0,0.184028,0.224020,0.242898,0.250709,0.192708,0.084635,0.063748,0.055512,0.129724,0.267313,0.321165,0.345515,0.266114,23040,0,7.961875
0.9,0.9,v4-p047,cd3e1b24,0.183738,0.224815,0.243400,0.253328,0.191840,0.084896,0.064073,0.056684,0.129410,0.268118,0.321684,0.352210,0.267452,23040,0,8.296916
0.9,1,v4-p048,017f0e9e,0.179832,0.225092,0.243998,0.254051,0.187934,0.085590,0.064562,0.057292,0.126000,0.270414,0.324449,0.355567,0.267053,23040,0,8.087417
1.2,0,v4-p049,7cf125a6,0.120660,0.162527,0.177099,0.183596,0.129340,0.062674,0.047472,0.041406,0.089928,0.200283,0.240349,0.260560,0.194160,23040,0,7.716916
1.2,0.1,v4-p050,7c0740c7,0.153935,0.189935,0.203848,0.212799,0.163194,0.071094,0.053168,0.046918,0.112966,0.227067,0.264981,0.293108,0.227434,23040,0,7.839792
1.2,0.2,v4-p051,1e79a064,0.164641,0.202376,0.218187,0.225374,0.173611,0.075955,0.057075,0.049696,0.119745,0.241854,0.285008,0.306747,0.240834,23040,0,7.749834
1.2,0.3,v4-p052,2a892660,0.169416,0.211112,0.227430,0.234506,0.178385,0.079514,0.059516,0.051519,0.121327,0.253880,0.298214,0.320515,0.250435,23040,0,7.674875
1.2,0.4,v4-p053,b99a12c9,0.172743,0.216694,0.232706,0.240670,0.181424,0.082465,0.061144,0.053168,0.122583,0.262621,0.306412,0.331342,0.256083,23040,0,7.804458
1.2,0.5,v4-p054,cdff2a20,0.182581,0.221384,0.240598,0.247637,0.191840,0.082986,0.062880,0.054123,0.130001,0.263116,0.316089,0.338238,0.264590,23040,0,8.045291
1.2,0.6,v4-p055,59c231a6,0.186487,0.225310,0.243751,0.250497,0.195747,0.084722,0.063639,0.054687,0.133061,0.268634,0.319774,0.341697,0.267768,23040,0,8.076666
1.2,0.7,v4-p056,7e686c7a,0.185185,0.227217,0.244167,0.253214,0.193576,0.086719,0.063965,0.056250,0.130423,0.273393,0.321594,0.350120,0.268267,23040,0,8.025583
1.2,0.75,v4-p057,ba72e199,0.184172,0.227169,0.245760,0.254790,0.192274,0.086806,0.064941,0.056988,0.129845,0.273221,0.326108,0.354427,0.268654,23040,0,8.140500
1.2,0.8,v4-p058,45f0dbfd,0.183304,0.227478,0.247229,0.255145,0.190538,0.086979,0.065755,0.057031,0.128456,0.273706,0.330126,0.355305,0.268779,23040,0,8.275375
1.2,0.9,v4-p059,7992e8d1,0.181134,0.225972,0.246831,0.255508,0.189236,0.086285,0.065918,0.057595,0.126639,0.272326,0.331134,0.359212,0.269011,23040,0,7.892083
1.2,1,v4-p060,d87ff54f,0.180845,0.224838,0.246020,0.255606,0.189236,0.085243,0.065809,0.057943,0.126040,0.270317,0.330380,0.360750,0.268435,23040,0,8.215625
1.6,0,v4-p061,1f36d4ab,0.120081,0.161240,0.175769,0.182997,0.128472,0.062240,0.047146,0.041623,0.088929,0.199126,0.239065,0.261213,0.193200,23040,0,7.548958
1.6,0.1,v4-p062,b3e28351,0.153212,0.191144,0.206585,0.214548,0.162760,0.071875,0.054091,0.047483,0.111687,0.229755,0.272364,0.297107,0.229012,23040,0,7.872417
1.6,0.2,v4-p063,fa0ac3c7,0.161748,0.201994,0.219058,0.226365,0.170139,0.076389,0.057888,0.050347,0.116594,0.243315,0.289637,0.311790,0.240828,23040,0,7.938667
1.6,0.3,v4-p064,4b84cb51,0.168403,0.211535,0.229245,0.237111,0.177083,0.079861,0.060655,0.052648,0.121856,0.255642,0.303497,0.327824,0.251325,23040,0,8.133709
1.6,0.4,v4-p065,3eec5421,0.177228,0.219092,0.237765,0.245009,0.186198,0.082726,0.062663,0.054036,0.127104,0.263414,0.314675,0.336955,0.260256,23040,0,8.116625
1.6,0.5,v4-p066,951583fc,0.179253,0.223322,0.241806,0.249543,0.187934,0.084896,0.063802,0.055208,0.127722,0.269281,0.319978,0.344562,0.264195,23040,0,8.081000
1.6,0.6,v4-p067,d6d35ed6,0.185619,0.227778,0.245563,0.254944,0.194010,0.086632,0.064507,0.056554,0.131711,0.274825,0.323616,0.353701,0.269812,23040,0,7.910916
1.6,0.7,v4-p068,f70fbc94,0.182002,0.227917,0.248820,0.256000,0.190104,0.087413,0.066732,0.057292,0.126697,0.276223,0.334739,0.358151,0.269418,23040,0,7.860834
1.6,0.75,v4-p069,1a6ca619,0.182292,0.229204,0.249946,0.257743,0.190104,0.087413,0.066786,0.057856,0.128070,0.277512,0.335725,0.360201,0.270417,23040,0,8.142250
1.6,0.8,v4-p070,1de63eaa,0.180845,0.228328,0.249741,0.257382,0.188368,0.087500,0.067112,0.057899,0.126390,0.276136,0.337548,0.361885,0.269763,23040,0,8.197500
1.6,0.9,v4-p071,9eb6eb4e,0.179687,0.227870,0.247621,0.256230,0.187500,0.087240,0.066515,0.057899,0.125918,0.277108,0.332751,0.359993,0.268408,23040,0,8.120833
1.6,1,v4-p072,84eee2fa,0.174479,0.224450,0.244456,0.253369,0.182292,0.086111,0.066081,0.057856,0.122555,0.273977,0.330502,0.358748,0.264215,23040,0,8.187041
2,0,v4-p073,19e65a72,0.117622,0.159953,0.174735,0.182351,0.126302,0.061458,0.047038,0.041580,0.088071,0.198482,0.239244,0.262420,0.191463,23040,0,7.623417
2,0.1,v4-p074,e4bbb975,0.149161,0.188566,0.204600,0.212362,0.159288,0.071528,0.053982,0.047526,0.107936,0.228904,0.273817,0.296942,0.226288,23040,0,7.996834
2,0.2,v4-p075,ed161fbd,0.159722,0.201774,0.218344,0.226673,0.168403,0.076562,0.057834,0.050651,0.115270,0.243631,0.288846,0.313721,0.240563,23040,0,8.033958
2,0.3,v4-p076,1199def9,0.167679,0.212621,0.229812,0.237583,0.176649,0.080729,0.060872,0.052865,0.121350,0.257516,0.304159,0.328234,0.251704,23040,0,8.181916
