rrfK,label,digest8,ndcg@1,ndcg@5,ndcg@8,ndcg@10,p@1,p@5,p@8,p@10,r@1,r@5,r@8,r@10,mrr@10,runLines,zeroResultQueries
0,v6-p001,3fa5a423,0.236111,0.302900,0.327042,0.336106,0.245660,0.113628,0.085883,0.074219,0.168934,0.366692,0.433644,0.461363,0.345456,23040,0
1,v6-p002,52a79d54,0.234954,0.303481,0.326774,0.336720,0.243924,0.114323,0.085612,0.074479,0.167953,0.367760,0.432780,0.463255,0.345145,23040,0
2,v6-p003,0ec9d6a3,0.232205,0.304026,0.326263,0.336408,0.240885,0.115017,0.085720,0.074566,0.164444,0.369793,0.432255,0.463288,0.345291,23040,0
5,v6-p004,566292fe,0.228443,0.304506,0.326075,0.336507,0.237413,0.116233,0.086155,0.074870,0.161798,0.371988,0.432363,0.464594,0.344837,23040,0
10,v6-p005,1a65b7ef,0.225550,0.299798,0.322374,0.332247,0.234809,0.115017,0.086046,0.074523,0.159695,0.368038,0.431692,0.462207,0.340286,23040,0
20,v6-p006,223be9a9,0.223958,0.294264,0.316145,0.326718,0.232639,0.112847,0.084201,0.073134,0.158983,0.359572,0.420574,0.453558,0.335835,23040,0
40,v6-p007,3f424572,0.224103,0.291209,0.313096,0.323950,0.233073,0.111111,0.082954,0.072222,0.159439,0.353016,0.414769,0.448013,0.333991,23040,0
60,v6-p008,ae21327b,0.223235,0.289990,0.311361,0.321687,0.232205,0.110417,0.082411,0.071528,0.159114,0.350751,0.410931,0.442821,0.332518,23040,0
100,v6-p009,1802aa0e,0.222801,0.289407,0.310330,0.319928,0.231771,0.110243,0.082031,0.070964,0.158897,0.349873,0.408850,0.438723,0.331620,23040,0
200,v6-p010,d30443b2,0.222801,0.289351,0.310144,0.319332,0.231771,0.110243,0.081868,0.070616,0.158897,0.349512,0.408203,0.436989,0.331551,23040,0
400,v6-p011,249356be,0.222801,0.289640,0.309787,0.318873,0.231771,0.110330,0.081706,0.070443,0.158897,0.350163,0.406779,0.435253,0.331430,23040,0
700,v6-p012,20333b76,0.222801,0.289453,0.309745,0.318575,0.231771,0.110243,0.081706,0.070399,0.158897,0.349729,0.406779,0.434312,0.331293,23040,0
1000,v6-p013,96bdfb0f,0.222801,0.289453,0.309735,0.318631,0.231771,0.110243,0.081706,0.070399,0.158897,0.349729,0.406779,0.434638,0.331316,23040,0
